,SA1_7D,SA1,sed_score,sed_decile,sead_score,sead_decile,ER_score,ER_decile,EO_score,EO_decile,URP,apr20base_count,apr20wave_count,jan22base_count,jan22wave_count,apr20_Rel_Mob,jan22_Rel_Mob
0,2100901,20102100901,968,4,947,3,984,5,944,4,574,3043,1179,6609,5557,-0.6125534012487677,-0.1591768800121047
1,2100902,20102100902,1030,6,1010,6,1054,7,992,5,272,451,24,1447,2530,-0.9467849223946785,0.7484450587422253
2,2100903,20102100903,1025,6,983,5,1079,8,937,3,398,291,149,614,4153,-0.4879725085910653,5.763843648208469
3,2100904,20102100904,1019,5,984,5,1047,7,916,3,232,244,144,8397,34526,-0.4098360655737705,3.1117065618673334
4,2100906,20102100906,1045,7,1028,6,1079,8,998,5,246,3435,681,14051,9305,-0.8017467248908297,-0.33776955376841505
5,2100907,20102100907,1057,7,1042,7,1096,9,1035,7,350,6834,4781,29338,9269,-0.3004097161252561,-0.684061626559411
6,2100908,20102100908,1037,6,1018,6,1072,8,983,5,301,3335,16136,56911,47466,3.8383808095952023,-0.1659608862961466
7,2100909,20102100909,1045,7,1015,6,1041,7,1000,6,344,1333,3,1533,1065,-0.9977494373593399,-0.30528375733855184
8,2100910,20102100910,1030,6,1014,6,1069,8,955,4,317,436,231,852,905,-0.4701834862385321,0.062206572769953054
9,2100912,20102100912,1029,6,997,5,1033,7,950,4,336,937,412,917,1943,-0.5602988260405549,1.11886586695747
10,2100913,20102100913,1030,6,1007,5,1034,7,995,5,483,512,684,7849,6952,0.3359375,-0.1142820741495732
11,2100914,20102100914,962,3,931,3,950,3,922,3,222,851,105,937,70,-0.8766157461809636,-0.9252934898612594
12,2100915,20102100915,877,2,896,2,907,2,979,5,311,948,687,548,236,-0.27531645569620256,-0.5693430656934306
13,2100916,20102100916,954,3,942,3,924,3,992,5,370,1739,328,2338,3794,-0.8113858539390454,0.6227544910179641
14,2100917,20102100917,1034,6,1032,6,1101,9,1028,7,496,3244,1808,3075,1743,-0.44266337854500615,-0.43317073170731707
15,2101107,20102101107,1006,5,984,5,1012,6,1019,6,492,182,42,522,1433,-0.7692307692307693,1.7452107279693487
16,2101110,20102101110,1057,7,1057,7,1069,8,1099,9,417,162,176,946,1793,0.08641975308641975,0.8953488372093024
17,2101112,20102101112,980,4,955,4,965,4,998,5,599,149,309,323,248,1.0738255033557047,-0.23219814241486067
18,2101121,20102101121,993,4,974,4,1029,6,1019,6,360,60,3,93,48,-0.95,-0.4838709677419355
19,2101122,20102101122,1031,6,1022,6,1014,6,1097,9,449,71,3,215,110,-0.9577464788732394,-0.4883720930232558
20,2101123,20102101123,1030,6,1016,6,1004,5,1071,8,278,68,260,48,38,2.823529411764706,-0.20833333333333334
21,2101125,20102101125,1052,7,1059,8,1049,7,1121,9,408,292,144,3149,600,-0.5068493150684932,-0.8094633216894253
22,2101201,20102101201,954,3,944,3,997,5,975,5,366,499,15,6,291,-0.969939879759519,47.5
23,2101202,20102101202,983,4,978,4,1017,6,1018,6,171,1610,162,127,129,-0.8993788819875776,0.015748031496062992
24,2101204,20102101204,943,3,938,3,970,4,938,3,238,270,120,275,214,-0.5555555555555556,-0.22181818181818183
25,2101209,20102101209,1036,6,997,5,1047,7,961,4,349,11,85,589,400,6.7272727272727275,-0.32088285229202035
26,2101210,20102101210,1066,8,1025,6,1064,8,990,5,409,169,10,26,93,-0.9408284023668639,2.576923076923077
27,2101213,20102101213,1027,6,1014,6,1054,7,1014,6,366,883,1664,5988,1871,0.8844847112117781,-0.6875417501670007
28,2101216,20102101216,1038,6,1019,6,1073,8,1008,6,397,904,265,2639,1271,-0.706858407079646,-0.5183781735505874
29,2102815,20202102815,1020,5,997,5,1032,6,1035,7,448,89,1586,397,734,16.820224719101123,0.8488664987405542
30,2103001,20202103001,1069,8,1046,7,1108,9,1028,7,465,1867,88,1474,1385,-0.9528655597214784,-0.060379918588873815
31,2103002,20202103002,1072,8,1047,7,1096,9,1031,7,454,110,131,1134,1254,0.19090909090909092,0.10582010582010581
32,2103003,20202103003,1017,5,1015,6,1063,8,1025,6,541,895,465,5461,2540,-0.48044692737430167,-0.5348837209302325
33,2103004,20202103004,1061,7,1053,7,1082,8,1063,8,489,973,621,6137,3003,-0.3617677286742035,-0.510672967247841
34,2103005,20202103005,1109,10,1112,9,1121,10,1092,9,293,268,1,1046,2271,-0.996268656716418,1.1711281070745698
35,2103006,20202103006,1062,8,1041,7,1059,8,1056,7,340,13,13,1339,1195,0.0,-0.1075429424943988
36,2103008,20202103008,1072,8,1068,8,1091,9,1122,9,205,471,126,1355,960,-0.732484076433121,-0.2915129151291513
37,2103010,20202103010,1012,5,974,4,1029,6,969,4,368,380,1451,1316,102,2.818421052631579,-0.9224924012158054
38,2103012,20202103012,1004,5,978,4,1011,6,995,5,469,6,23,5531,5200,2.8333333333333335,-0.05984451274633882
39,2103013,20202103013,995,4,987,5,968,4,1068,8,506,227,713,2653,1033,2.140969162995595,-0.6106294760648323
40,2103015,20202103015,968,4,975,4,946,3,1044,7,371,195,459,3303,726,1.353846153846154,-0.7801998183469573
41,2103016,20202103016,981,4,971,4,942,3,1011,6,426,284,662,664,702,1.3309859154929577,0.0572289156626506
42,2103019,20202103019,989,4,986,5,989,5,1039,7,571,3926,10,5523,4324,-0.9974528782475802,-0.21709216005793952
43,2103020,20202103020,994,4,966,4,991,5,971,4,879,2263,2333,5734,5793,0.03093239063190455,0.010289501220788281
44,2103023,20202103023,952,3,949,3,933,3,978,5,373,405,843,3274,3945,1.0814814814814815,0.2049480757483201
45,2103024,20202103024,1034,6,1016,6,1084,9,1033,7,335,324,230,717,510,-0.29012345679012347,-0.28870292887029286
46,2103025,20202103025,1028,6,998,5,1045,7,1000,6,246,2214,4553,461,298,1.0564588979223126,-0.35357917570498915
47,2103101,20202103101,1088,9,1081,8,1056,7,1105,9,536,697,1620,9970,10313,1.3242467718794835,0.03440320962888666
48,2103102,20202103102,1057,7,1053,7,1050,7,1074,8,719,1246,1293,7432,5149,0.0377207062600321,-0.30718514531754576
49,2103103,20202103103,1099,9,1095,9,1143,10,1059,8,398,491,289,4999,5574,-0.41140529531568226,0.11502300460092019
50,2103104,20202103104,1104,9,1089,9,1126,10,1087,8,499,442,766,2514,2322,0.7330316742081447,-0.07637231503579953
51,2103105,20202103105,1098,9,1092,9,1109,9,1103,9,543,15970,42,10659,6408,-0.9973700688791484,-0.398817900365888
52,2103106,20202103106,1100,9,1087,8,1124,10,1064,8,365,12577,3891,4532,3114,-0.6906257454082849,-0.31288614298323036
53,2103107,20202103107,1089,9,1085,8,1104,9,1115,9,506,1156,31,12952,6263,-0.9731833910034602,-0.5164453366275479
54,2103108,20202103108,1099,9,1096,9,1120,10,1115,9,228,1174,81,7696,4364,-0.9310051107325383,-0.43295218295218296
55,2103109,20202103109,1089,9,1079,8,1108,9,1078,8,316,3818,332,2322,4262,-0.9130434782608695,0.8354866494401378
56,2103110,20202103110,1116,10,1106,9,1095,9,1133,9,275,626,997,3948,3934,0.5926517571884984,-0.0035460992907801418
57,2103111,20202103111,1046,7,1028,6,1056,7,1026,6,563,5282,14,3543,7430,-0.9973494888299886,1.0970928591589049
58,2103113,20202103113,1054,7,1059,8,1058,8,1091,8,462,19184,4563,2291,3315,-0.7621455379482902,0.4469663902226102
59,2103114,20202103114,1050,7,1047,7,1009,5,1078,8,264,247,472,3753,3468,0.9109311740890689,-0.0759392486011191
60,2103115,20202103115,968,4,960,4,922,2,1028,7,493,4763,18554,12172,7794,2.89544404786899,-0.35967794939204734
61,2103116,20202103116,1060,7,1049,7,1044,7,1090,8,488,1206,1,1162,5924,-0.9991708126036484,4.098106712564544
62,2103404,20301103404,1129,10,1107,9,1152,10,1041,7,509,90,7,397,170,-0.9222222222222223,-0.5717884130982368
63,2103405,20301103405,1074,8,1079,8,1117,9,1042,7,426,88,4,2625,314,-0.9545454545454546,-0.8803809523809524
64,2103412,20301103412,1087,9,1051,7,1102,9,1029,7,905,444,187,1868,929,-0.5788288288288288,-0.5026766595289079
65,2103413,20301103413,1033,6,992,5,1041,7,960,4,844,514,234,1720,329,-0.5447470817120622,-0.8087209302325581
66,2103507,20301103507,1097,9,1071,8,1105,9,1057,7,331,814,1133,328,870,0.3918918918918919,1.6524390243902438
67,2103508,20301103508,1045,7,1022,6,1067,8,1039,7,235,16,650,22,31,39.625,0.4090909090909091
68,2103707,20302103707,992,4,981,4,954,3,997,5,503,379,194,698,349,-0.48812664907651715,-0.5
69,2103709,20302103709,1027,6,1001,5,965,4,1030,7,518,279,373,186,323,0.33691756272401435,0.7365591397849462
70,2103710,20302103710,955,3,941,3,927,3,948,4,303,8,831,38,9,102.875,-0.7631578947368421
71,2103715,20302103715,1016,5,981,4,977,4,1002,6,476,101,51,50,77,-0.49504950495049505,0.54
72,2103717,20302103717,988,4,967,4,938,3,968,4,589,30,37,282,147,0.23333333333333334,-0.4787234042553192
73,2103727,20302103727,974,4,956,4,907,2,983,5,699,38,337,88,17,7.868421052631579,-0.8068181818181818
74,2103730,20302103730,1041,6,1031,6,1015,6,1047,7,480,221,8,255,161,-0.9638009049773756,-0.3686274509803922
75,2103801,20302103801,819,1,804,1,857,1,773,1,457,523,101,590,762,-0.8068833652007649,0.29152542372881357
76,2103808,20302103808,777,1,785,1,850,1,756,1,363,27,78,620,512,1.8888888888888888,-0.17419354838709677
77,2103809,20302103809,829,1,817,1,853,1,843,1,371,2,1737,4,152,867.5,37.0
78,2103813,20302103813,905,2,884,2,978,4,825,1,657,30,2005,2051,1020,65.83333333333333,-0.5026816187225743
79,2103814,20302103814,842,1,834,1,912,2,810,1,305,10,8,35,506,-0.2,13.457142857142857
80,2103821,20302103821,860,1,842,1,914,2,827,1,315,81,390,3393,1357,3.814814814814815,-0.6000589448865311
81,2103828,20302103828,626,1,667,1,705,1,730,1,307,871,57,454,210,-0.9345579793340988,-0.5374449339207048
82,2103830,20302103830,630,1,683,1,696,1,740,1,371,123,97,285,222,-0.21138211382113822,-0.22105263157894736
83,2103831,20302103831,747,1,751,1,760,1,773,1,399,387,177,30,181,-0.5426356589147286,5.033333333333333
84,2103832,20302103832,687,1,730,1,770,1,813,1,550,111,37,1,132,-0.6666666666666666,131.0
85,2103833,20302103833,657,1,706,1,738,1,781,1,322,166,48,36,48,-0.7108433734939759,0.3333333333333333
86,2103834,20302103834,658,1,680,1,739,1,736,1,275,618,174,394,108,-0.7184466019417476,-0.7258883248730964
87,2103839,20302103839,802,1,809,1,876,2,788,1,315,15,170,302,65,10.333333333333334,-0.7847682119205298
88,2103840,20302103840,877,2,844,1,943,3,778,1,291,114,15,74,409,-0.868421052631579,4.527027027027027
89,2103842,20302103842,766,1,787,1,830,1,820,1,526,93,85,173,63,-0.08602150537634409,-0.6358381502890174
90,2103843,20302103843,706,1,743,1,777,1,781,1,323,205,120,95,25,-0.4146341463414634,-0.7368421052631579
91,2103844,20302103844,803,1,798,1,843,1,811,1,422,125,15,326,86,-0.88,-0.7361963190184049
92,2103845,20302103845,776,1,808,1,869,1,776,1,287,462,200,79,41,-0.5670995670995671,-0.4810126582278481
93,2103847,20302103847,919,2,906,2,917,2,935,3,355,43,34,131,162,-0.20930232558139536,0.2366412213740458
94,2103848,20302103848,733,1,764,1,739,1,805,1,443,534,101,25,302,-0.8108614232209738,11.08
95,2103849,20302103849,675,1,721,1,724,1,807,1,544,104,113,638,763,0.08653846153846154,0.19592476489028213
96,2103851,20302103851,1060,7,1048,7,1106,9,1014,6,296,14,110,316,155,6.857142857142857,-0.509493670886076
97,2103856,20302103856,843,1,828,1,869,1,809,1,587,888,79,516,389,-0.911036036036036,-0.24612403100775193
98,2103858,20302103858,896,2,869,1,931,3,835,1,217,106,95,1088,1147,-0.10377358490566038,0.05422794117647059
99,2103859,20302103859,672,1,716,1,736,1,776,1,498,78,619,127,107,6.935897435897436,-0.15748031496062992
