,SA1,ER_local_decile,EO_local_decile
0,20601110501,2,8
1,20601110502,2,7
2,20601110503,2,7
3,20601110504,3,8
4,20601110505,4,8
5,20601110506,2,7
6,20601110508,3,8
7,20601110510,3,9
8,20601110512,7,7
9,20601110514,5,9
10,20601110515,4,8
11,20601110516,5,8
12,20601110517,4,8
13,20601110518,4,8
14,20601110519,1,8
15,20601110520,6,7
16,20601110522,1,9
17,20601110524,5,9
18,20601110525,5,10
19,20601110526,5,9
20,20601110527,2,6
21,20601110528,5,9
22,20601110529,2,9
23,20601110530,1,8
24,20601110531,2,8
25,20601110532,4,8
26,20601110533,3,7
27,20601110534,3,8
28,20601110535,3,9
29,20601110537,3,9
30,20601110539,1,9
31,20601110542,3,9
32,20601110543,3,8
33,20601110545,3,10
34,20601110547,2,9
35,20601110548,2,9
36,20601110549,5,8
37,20601110551,3,9
38,20601110552,3,10
39,20601110553,1,10
40,20601110554,3,10
41,20601110555,2,10
42,20601110557,5,8
43,20601110558,1,10
44,20601110559,1,9
45,20601110601,4,9
46,20601110602,2,10
47,20601110603,2,9
48,20601110604,2,10
49,20601110605,5,10
50,20601110606,3,9
51,20601110607,2,9
52,20601110608,3,8
53,20601110609,4,10
54,20601110610,1,9
55,20601110611,3,9
56,20601110612,3,8
57,20601110613,4,9
58,20601110614,2,8
59,20601110616,5,10
60,20601110617,2,8
61,20601110618,5,8
62,20601110619,4,8
63,20601110701,4,9
64,20601110702,4,9
65,20601110703,2,8
66,20601110704,5,9
67,20601110705,2,7
68,20601110706,5,8
69,20601110707,4,7
70,20601110708,4,8
71,20601110709,1,8
72,20601110710,1,7
73,20601110711,1,8
74,20601110712,4,8
75,20601110713,5,7
76,20601110714,4,7
77,20601110715,1,6
78,20601110716,2,8
79,20601110717,2,8
80,20601110718,2,8
81,20601110719,1,4
82,20601110720,1,8
83,20601110721,2,9
84,20601110722,3,8
85,20601110723,2,9
86,20601110724,2,7
87,20601110725,5,8
88,20601110726,4,8
89,20601110727,2,7
90,20601110728,4,6
91,20601110729,3,10
92,20601110730,1,8
93,20601110731,3,9
94,20601110801,3,7
95,20601110802,2,8
96,20601110803,4,6
97,20601110804,5,8
98,20601110806,4,7
99,20601110807,2,8
100,20601110809,2,6
101,20601110810,6,7
102,20601110811,4,7
103,20601110812,7,7
104,20601110813,5,7
105,20601110814,3,7
106,20601110815,3,7
107,20601110816,4,6
108,20601110817,5,3
109,20601110818,4,5
110,20601110819,3,7
111,20601110821,2,6
112,20601110823,3,6
113,20601110824,7,7
114,20601110825,5,7
115,20601110826,5,7
116,20601110827,5,8
117,20601110828,7,7
118,20601110829,3,5
119,20601110830,7,8
120,20601110832,4,7
121,20601110833,1,7
122,20601110834,2,4
123,20601110835,6,8
124,20601110836,5,7
125,20601110837,5,7
126,20601110838,7,8
127,20601110839,3,7
128,20601110840,5,6
129,20601110841,3,7
130,20601110843,2,5
131,20601110844,5,7
132,20601110845,5,7
133,20601110846,6,6
134,20601110847,4,7
135,20601110848,5,2
136,20601110849,4,7
137,20601110850,7,6
138,20601110851,4,5
139,20601110852,1,6
140,20601110853,3,8
141,20601110854,3,6
142,20601110855,4,5
143,20601110856,5,6
144,20601110857,6,6
145,20601110858,7,7
146,20601110859,3,7
147,20601110860,2,10
148,20601110901,5,7
149,20601110902,7,6
150,20601110903,5,6
151,20601110904,8,8
152,20601110905,7,8
153,20601110906,8,7
154,20601110907,7,7
155,20601110908,7,8
156,20601110909,7,8
157,20601110910,8,8
158,20601110911,6,6
159,20601110912,7,5
160,20601110913,7,8
161,20601110914,7,6
162,20601110915,8,6
163,20601110916,5,7
164,20601110917,9,7
165,20601110918,7,7
166,20601110919,4,6
167,20601110920,4,6
168,20601110921,4,5
169,20601110922,4,4
170,20601110924,4,6
171,20602111002,5,9
172,20602111003,6,9
173,20602111004,5,8
174,20602111005,7,8
175,20602111006,7,9
176,20602111007,3,9
177,20602111008,5,9
178,20602111010,3,7
179,20602111012,9,9
180,20602111013,5,9
181,20602111014,3,7
182,20602111016,8,10
183,20602111018,2,8
184,20602111022,3,8
185,20602111101,4,9
186,20602111104,6,8
187,20602111105,4,7
188,20602111106,5,9
189,20602111107,7,9
190,20602111108,2,8
191,20602111109,6,9
192,20602111110,6,10
193,20602111111,8,10
194,20602111112,6,9
195,20602111113,1,8
196,20602111114,5,8
197,20602111115,7,8
198,20602111116,3,7
199,20602111118,5,8
200,20602111119,6,8
201,20602111120,4,10
202,20602111123,1,9
203,20602111125,3,10
204,20602111126,1,7
205,20602111127,7,8
206,20602111128,7,8
207,20602111129,4,10
208,20602111130,4,10
209,20602111131,3,9
210,20602111132,6,9
211,20602111133,4,10
212,20602111134,6,9
213,20602111135,5,10
