,SA1,ER_local_decile,EO_local_decile
0,10201102802,9,8
1,10201102803,7,8
2,10201102804,7,6
3,10201102805,8,7
4,10201102806,6,5
5,10201102807,7,9
6,10201102808,10,8
7,10201102809,9,6
8,10201102810,8,7
9,10201102811,7,6
10,10201102812,8,7
11,10201102813,5,6
12,10201102814,7,7
13,10201102815,7,7
14,10201102816,9,8
15,10201102817,9,8
16,10201102818,9,6
17,10201102901,9,7
18,10201102902,7,7
19,10201102903,6,4
20,10201102904,6,3
21,10201102905,8,6
22,10201102906,7,8
23,10201102907,7,5
24,10201102908,8,5
25,10201102909,8,6
26,10201102910,7,6
27,10201102911,6,7
28,10201102912,8,9
29,10201102914,10,6
30,10201102915,9,5
31,10201102916,7,4
32,10201102917,8,7
33,10201102918,8,7
34,10201102919,3,4
35,10201102922,10,6
36,10201102923,8,4
37,10201102924,9,5
38,10201102925,5,4
39,10201102926,9,5
40,10201102927,7,7
41,10201102928,2,3
42,10201103002,8,5
43,10201103004,6,5
44,10201103005,8,5
45,10201103006,9,4
46,10201103008,8,6
47,10201103011,4,3
48,10201103012,8,6
49,10201103101,9,6
50,10201103102,5,5
51,10201103103,2,2
52,10201103104,1,1
53,10201103105,7,4
54,10201103106,3,3
55,10201103108,9,6
56,10201103109,9,5
57,10201103110,5,5
58,10201103111,5,4
59,10201103112,10,7
60,10201103113,10,9
61,10201103114,10,8
62,10201103115,10,8
63,10201103116,9,7
64,10201103117,7,6
65,10201103118,10,8
66,10201103120,8,5
67,10201103121,7,5
68,10201103122,6,5
69,10201103123,2,2
70,10201103125,5,3
71,10201103126,1,1
72,10201103127,7,4
73,10201103128,7,4
74,10201103129,9,6
75,10201103130,9,6
76,10201103133,9,5
77,10201103134,7,4
78,10201103135,7,4
79,10201103136,5,6
80,10201103138,5,4
81,10201103201,5,4
82,10201103202,2,3
83,10201103203,7,5
84,10201103204,1,4
85,10201103205,1,5
86,10201103206,2,2
87,10201103207,3,6
88,10201103208,2,4
89,10201103210,1,3
90,10201103211,4,4
91,10201103212,4,5
92,10201103214,6,4
93,10201103215,4,4
94,10201103216,6,4
95,10201103217,4,3
96,10201103218,7,6
97,10201103219,3,7
98,10201103220,3,6
99,10201103221,2,4
100,10201103224,2,4
101,10201103225,7,4
102,10201103226,1,5
103,10201103227,1,1
104,10201103228,1,6
105,10201103230,2,5
106,10201103231,3,5
107,10201103232,3,4
108,10201103233,8,5
109,10201103234,7,7
110,10201103235,1,4
111,10201103236,1,3
112,10201103237,1,3
113,10201103238,9,9
114,10201103239,5,6
115,10201103241,2,4
116,10201103242,1,4
117,10201103243,7,8
118,10201103244,2,2
119,10201103245,1,6
120,10201103246,8,4
121,10201103247,10,8
122,10201103248,1,4
123,10201103301,6,5
124,10201103302,6,4
125,10201103303,6,4
126,10201103304,7,3
127,10201103305,7,5
128,10201103306,7,4
129,10201103307,5,3
130,10201103308,7,3
131,10201103310,8,5
132,10201103311,7,4
133,10201103312,8,7
134,10201103313,7,6
135,10201103314,7,2
136,10201103315,7,4
137,10201103317,6,3
138,10201103318,7,4
139,10201103319,6,3
140,10201103401,5,5
141,10201103402,4,4
142,10201103403,4,3
143,10201103404,5,4
144,10201103405,5,3
145,10201103408,8,6
146,10201103409,6,4
147,10201103410,4,3
148,10201103411,8,4
149,10201103412,5,3
150,10201103413,9,5
151,10201103414,2,2
152,10201103415,3,2
153,10201103416,4,4
154,10201103417,3,2
155,10201103418,2,1
156,10201103419,7,5
157,10201103501,7,4
158,10201103502,3,3
159,10201103503,7,4
160,10201103504,6,5
161,10201103505,8,5
162,10201103506,8,6
163,10201103507,4,2
164,10201103508,9,6
165,10201103509,5,4
166,10201103510,6,3
167,10201103511,7,4
168,10201103512,5,3
169,10201103513,6,4
170,10201103514,5,3
171,10201103515,3,2
172,10201103516,5,3
173,10201103601,9,6
174,10201103602,9,6
175,10201103603,7,4
176,10201103604,7,4
177,10201103605,8,5
178,10201103606,6,5
179,10201103607,10,9
180,10201103608,6,5
181,10201103609,9,5
182,10201103610,4,4
183,10201103611,6,3
184,10201103612,2,1
185,10201103613,7,5
186,10201103614,7,3
187,10201103615,5,4
188,10201103616,8,4
189,10201103617,9,6
190,10201103618,9,6
191,10201103619,3,3
192,10201103620,2,2
193,10201103621,9,6
194,10201103622,7,4
195,10201103701,5,4
196,10201103702,6,6
197,10201103703,4,5
198,10201103704,7,6
199,10201103705,6,5
200,10201103706,5,4
201,10201103707,8,6
202,10201103708,6,7
203,10201103709,6,6
204,10201103710,6,5
205,10201103711,5,4
206,10201103712,6,6
207,10201103713,3,5
208,10201103714,5,5
209,10201103801,9,5
210,10201103802,8,6
211,10201103803,6,3
212,10201103804,5,2
213,10201103805,8,5
214,10201103806,4,3
215,10201103807,7,3
216,10201103808,3,3
217,10201103809,7,5
218,10201103810,8,6
219,10201103811,7,5
220,10201103812,8,6
221,10201103813,7,4
222,10201103814,6,6
223,10201103815,7,6
224,10201103816,7,5
225,10201103817,7,3
226,10201103901,8,8
227,10201103902,9,6
228,10201103903,7,7
229,10201103904,8,6
230,10201103905,8,5
231,10201103906,5,6
232,10201103908,9,8
233,10201103909,5,6
234,10201103911,7,7
235,10201103912,6,6
236,10201103913,8,6
237,10201103914,8,6
238,10201103915,8,8
239,10201103916,7,5
240,10201103917,7,7
241,10201103918,8,7
242,10201103919,4,5
243,10201103920,4,6
244,10201103921,7,7
245,10201103922,10,6
246,10201103924,1,1
247,10201103925,8,7
248,10201103926,9,8
249,10201103927,8,6
250,10201103928,4,7
251,10201103929,8,6
252,10201103931,5,8
253,10201104001,4,3
254,10201104003,7,6
255,10201104004,6,4
256,10201104005,8,6
257,10201104006,4,4
258,10201104007,3,3
259,10201104009,2,2
260,10201104010,2,2
261,10201104011,4,4
262,10201104012,5,3
263,10201104013,4,3
264,10201104014,1,1
265,10201104015,4,4
266,10201104016,5,9
267,10201104017,2,1
268,10201104018,3,2
269,10201104019,2,1
270,10201104020,2,1
271,10201104021,2,1
272,10201104022,1,2
273,10201104023,2,2
274,10201104024,2,4
275,10201104025,2,1
276,10201104026,2,3
277,10201104027,2,1
278,10201104028,7,4
279,10201104029,2,1
280,10201104030,2,1
281,10201104031,1,3
282,10201104032,3,2
283,10201104033,3,3
284,10201104034,5,3
285,10201104035,4,5
286,10201104036,5,3
287,10201104037,3,1
288,10201104038,3,2
289,10201104039,4,2
290,10201104040,4,3
291,10201104041,2,2
292,10201104042,1,3
293,10201104043,2,3
294,10201104044,3,4
295,10201104045,2,2
296,10201104046,3,1
297,10201104047,3,3
298,10201104048,4,2
299,10201104049,4,3
300,10201104050,4,3
301,10201104051,5,4
302,10201104052,6,4
303,10201104053,3,2
304,10201104054,7,5
305,10201104055,8,4
306,10201104056,7,6
307,10201104057,8,6
308,10201104058,6,4
309,10201104101,7,6
310,10201104102,8,7
311,10201104103,9,8
312,10201104104,7,5
313,10201104105,9,6
314,10201104106,10,7
315,10201104107,10,5
316,10201104109,7,6
317,10201104110,9,7
318,10201104111,8,5
319,10201104112,8,6
320,10201104113,10,8
321,10201104114,8,8
322,10201104115,9,8
323,10201104116,9,7
324,10201104117,9,6
325,10201104119,8,6
326,10201104120,7,6
327,10201104121,5,4
328,10201104122,10,4
329,10201104123,8,5
330,10201104124,7,8
331,10201104125,9,7
332,10201104201,3,2
333,10201104202,3,2
334,10201104203,3,3
335,10201104204,1,1
336,10201104205,2,2
337,10201104207,8,7
338,10201104208,2,3
339,10201104209,3,4
340,10201104210,7,7
341,10201104211,8,6
342,10201104213,3,3
343,10201104214,6,6
344,10201104215,2,2
345,10201104216,4,3
346,10201104217,2,2
347,10201104218,3,3
348,10201104219,3,2
349,10201104221,2,2
350,10201104223,1,1
351,10201104224,4,2
352,10201104225,4,2
353,10201104226,4,1
354,10201104227,2,2
355,10201104228,4,1
356,10201104229,1,3
357,10201104231,2,2
358,10201104232,2,2
359,10201104233,3,4
360,10201104302,3,2
361,10201104303,4,2
362,10201104304,5,4
363,10201104305,5,4
364,10201104307,7,4
365,10201104308,5,3
366,10201104309,6,3
367,10201104310,4,4
368,10201104311,4,4
369,10201104313,1,1
370,10201104315,6,3
371,10201104316,3,2
372,10201104317,2,3
373,10201104318,3,2
374,10201104319,4,3
375,10201104321,9,5
376,10201104322,6,5
377,10201104323,5,5
378,10201104324,6,5
379,10201104325,7,5
380,10201104326,6,4
381,10201104327,6,6
382,10201104328,6,4
383,10201104329,5,3
384,10201104330,5,3
385,10202104401,5,3
386,10202104402,5,3
387,10202104403,2,3
388,10202104404,6,3
389,10202104405,9,6
390,10202104406,7,4
391,10202104407,5,2
392,10202104408,5,3
393,10202104409,2,1
394,10202104410,1,1
395,10202104411,2,3
396,10202104412,6,5
397,10202104414,7,3
398,10202104415,6,1
399,10202104416,4,2
400,10202104417,3,2
401,10202104419,7,3
402,10202104420,5,3
403,10202104421,2,4
404,10202104422,6,3
405,10202104423,7,5
406,10202104424,4,1
407,10202104426,6,3
408,10202104427,5,3
409,10202104428,4,2
410,10202104429,5,3
411,10202104430,5,3
412,10202104431,6,3
413,10202104432,4,3
414,10202104433,5,1
415,10202104434,3,1
416,10202104435,10,5
417,10202104436,3,1
418,10202104437,5,3
419,10202104438,8,6
420,10202104439,6,4
421,10202104441,4,2
422,10202104442,5,1
423,10202104443,3,2
424,10202104444,4,2
425,10202104445,1,1
426,10202104446,1,1
427,10202104447,1,2
428,10202104448,3,2
429,10202104449,6,3
430,10202104450,8,4
431,10202104451,7,3
432,10202104452,6,2
433,10202104453,3,2
434,10202104454,6,4
435,10202104455,5,2
436,10202104456,8,5
437,10202104457,8,4
438,10202104458,7,4
439,10202104459,7,5
440,10202104501,5,1
441,10202104502,4,1
442,10202104503,2,1
443,10202104504,5,1
444,10202104505,3,1
445,10202104506,3,1
446,10202104507,3,1
447,10202104508,4,1
448,10202104509,5,1
449,10202104510,3,1
450,10202104511,3,1
451,10202104512,3,1
452,10202104513,4,1
453,10202104514,6,2
454,10202104515,4,1
455,10202104516,3,1
456,10202104517,5,2
457,10202104518,6,2
458,10202104519,4,1
459,10202104521,5,1
460,10202104522,6,1
461,10202104523,6,1
462,10202104524,3,1
463,10202104601,4,2
464,10202104602,5,1
465,10202104603,4,2
466,10202104605,6,2
467,10202104606,5,2
468,10202104607,4,1
469,10202104608,4,2
470,10202104610,2,1
471,10202104611,2,1
472,10202104612,4,1
473,10202104614,4,1
474,10202104615,4,1
475,10202104620,3,1
476,10202104621,6,3
477,10202104622,4,1
478,10202104625,3,1
479,10202104701,7,4
480,10202104702,6,4
481,10202104703,10,6
482,10202104704,5,3
483,10202104705,6,3
484,10202104706,7,4
485,10202104707,5,3
486,10202104708,7,3
487,10202104709,6,3
488,10202104710,1,1
489,10202104711,2,2
490,10202104712,10,5
491,10202104713,6,5
492,10202104714,10,6
493,10202104715,7,3
494,10202104716,6,2
495,10202104718,5,2
496,10202104719,4,3
497,10202104720,9,4
498,10202104721,7,5
499,10202104722,5,3
500,10202104723,9,4
501,10202104724,9,4
502,10202104725,6,3
503,10202104726,6,3
504,10202104727,5,1
505,10202104728,5,2
506,10202104729,6,2
507,10202104730,7,4
508,10202104731,5,3
509,10202104732,4,1
510,10202104733,2,1
511,10202104734,6,4
512,10202104735,5,3
513,10202104736,7,4
514,10202104801,2,1
515,10202104802,6,2
516,10202104803,4,2
517,10202104804,4,2
518,10202104805,5,2
519,10202104806,6,2
520,10202104807,6,2
521,10202104808,2,1
522,10202104809,2,2
523,10202104810,2,1
524,10202104811,3,1
525,10202104812,3,2
