,SA1_code,jan22_base_daily_coverage
0,20601110501,2.0480439258750858
1,20601110502,0.7370454078487775
2,20601110503,2.1349969567863663
3,20601110504,1.7337791167609669
4,20601110505,1.2949820788530466
5,20601110506,2.2951582297851503
7,20601110508,1.0513165869755539
9,20601110510,1.2684281779562112
10,20601110512,1.1736665602044078
11,20601110514,1.3169325724933036
12,20601110515,1.2408559817119635
13,20601110516,1.1612903225806452
14,20601110517,0.9294240068556039
15,20601110518,0.7703248563463616
16,20601110519,0.9687215730179833
17,20601110520,3.560048165282971
19,20601110522,2.385917097180979
21,20601110524,2.369387532693984
22,20601110525,2.7476362625139044
23,20601110526,2.111049889801643
24,20601110527,0.5572249226690233
25,20601110528,0.10901001112347053
26,20601110529,1.0953794934089172
27,20601110530,0.9800609601219203
28,20601110531,0.9766171701655573
29,20601110532,0.60546875
30,20601110533,1.1723009165575526
31,20601110534,0.8082982986916035
32,20601110535,1.8810721684352938
34,20601110537,2.5101247939722153
36,20601110539,3.398103281185103
39,20601110542,1.8337899032817129
40,20601110543,2.430088291303595
41,20601110545,1.412623621394915
43,20601110547,1.9914886373308367
44,20601110548,1.5721718448045192
45,20601110549,1.9374964061871083
47,20601110551,1.639795985957475
48,20601110552,0.9817721810131677
49,20601110553,1.9311414392059552
50,20601110554,4.887634408602151
51,20601110555,1.4421302175937687
53,20601110557,3.707718427582604
54,20601110558,2.1885145588472996
55,20601110559,1.548780487804878
56,20601110601,1.0158474780789961
57,20601110602,1.4200783510976214
58,20601110603,1.3505656544429265
59,20601110604,0.9984753651099342
60,20601110605,1.2759490893131447
61,20601110606,0.48593977472990574
62,20601110607,1.6640875059144424
63,20601110608,1.0018229373068082
64,20601110609,1.6301649148242117
65,20601110610,1.0715796103837674
66,20601110611,1.37911689316632
67,20601110612,0.9433592880978866
68,20601110613,1.1412083790178313
69,20601110614,1.1799142596106542
71,20601110616,1.0876344086021505
72,20601110617,1.2901870425589592
73,20601110618,0.47454583131864336
74,20601110619,0.6623655913978495
75,20601110701,1.9213067598109719
76,20601110702,1.4289516129032258
77,20601110703,2.4172981164754272
78,20601110704,2.1829541595925295
79,20601110705,1.0287923220474542
80,20601110706,0.7218242491657397
81,20601110707,0.7456001447767271
82,20601110708,1.4750597371565115
83,20601110709,2.647188154866192
84,20601110710,2.7192475868327692
85,20601110711,3.7122671512948657
86,20601110712,1.2748712388181078
87,20601110713,2.304806970973513
88,20601110714,1.5569171622514568
89,20601110715,4.169913765570105
90,20601110716,7.497302461503877
91,20601110717,2.8728287841191067
92,20601110718,4.099882572356151
93,20601110719,3.4382075695135237
94,20601110720,3.2454142947501583
95,20601110721,2.9230769230769225
96,20601110722,5.187602200089193
97,20601110723,3.13605553287056
98,20601110724,2.577127460519422
99,20601110725,2.9446073639622026
100,20601110726,1.5252932551319647
101,20601110727,5.5301325331332825
102,20601110728,2.0320909242854754
103,20601110729,3.072975964579381
104,20601110730,0.7802681189777965
105,20601110731,6.5257140076874425
106,20601110801,4.950342597582569
107,20601110802,2.5511179382147127
108,20601110803,4.641177035330261
109,20601110804,3.0640766458644633
111,20601110806,1.4606164383561644
112,20601110807,2.07128124742183
114,20601110809,1.7247162743892213
115,20601110810,2.307568775310711
116,20601110811,1.094044112364394
117,20601110812,1.8924352567014993
118,20601110813,0.15826139633499925
119,20601110814,0.7992696287279368
120,20601110815,2.2864748049757537
121,20601110816,1.9940935938209905
122,20601110817,1.760650804100442
123,20601110818,0.9643232819074334
124,20601110819,2.2875274926686213
126,20601110821,2.6774735700731904
128,20601110823,3.7353932866992103
129,20601110824,0.7159525443670948
130,20601110825,1.8480679661894084
131,20601110826,1.3032110767417882
132,20601110827,1.3421068739670683
133,20601110828,1.5474021177049986
134,20601110829,1.1416599701526806
135,20601110830,1.1120631720430108
137,20601110832,2.5855601378453197
138,20601110833,2.7562050287007844
139,20601110834,1.6229143492769744
140,20601110835,2.8540487162606976
141,20601110836,2.7976673802317857
142,20601110837,1.3316741648320092
143,20601110838,2.7100004614887627
144,20601110839,1.833965844402277
145,20601110840,1.5656434269857786
146,20601110841,2.2793475624545234
148,20601110843,1.4307724052548314
149,20601110844,1.8455667521316557
150,20601110845,3.7263454681151007
151,20601110846,1.069295101553166
152,20601110847,3.9479733353765996
153,20601110848,0.8822182397451216
154,20601110849,0.9132760577078943
155,20601110850,0.5022575205352772
156,20601110851,1.7586988039144618
157,20601110852,3.223442714126808
158,20601110853,1.6786492374727668
159,20601110854,2.398018796037592
160,20601110855,1.8570569215730506
161,20601110856,1.927789286771234
162,20601110857,0.036543268658493035
163,20601110858,1.2619549359701734
164,20601110859,3.178128843061205
165,20601110860,3.5654679220044248
166,20601110901,4.456733230926779
167,20601110902,3.869066213921901
168,20601110903,2.5180221111615935
169,20601110904,3.670414410171886
170,20601110905,1.3055890978092117
171,20601110906,4.839370252119344
172,20601110907,3.6340650012127096
173,20601110908,1.7744495647721454
174,20601110909,2.8954904542462145
175,20601110910,6.238691904381055
176,20601110911,4.574182405705053
177,20601110912,5.539523394362104
178,20601110913,3.398729799408916
179,20601110914,5.457326184407136
180,20601110915,3.2892220923034596
181,20601110916,3.346519524617997
182,20601110917,3.6992351180578646
183,20601110918,2.3069736769797218
184,20601110919,6.977240143369176
185,20601110920,6.022658290393166
186,20601110921,3.5133821665023244
187,20601110922,5.184137318733353
189,20601110924,8.45878136200717
191,20602111002,3.4867250763308117
192,20602111003,1.695083287202456
193,20602111004,1.8222533894343151
194,20602111005,1.0940699246667955
195,20602111006,1.5631125338586556
196,20602111007,1.6158357771260998
197,20602111008,1.3583400298473194
198,20602111009,2.3483870967741933
199,20602111010,3.8671851757405755
201,20602111012,1.803608948214065
202,20602111013,1.2682538893583182
203,20602111014,1.4505336371267539
205,20602111016,0.7421930332882622
207,20602111018,2.901281817629549
210,20602111021,9.048387096774194
211,20602111022,2.14199207696661
212,20602111101,1.5562590912980234
215,20602111104,1.8455676911353822
216,20602111105,0.9136348013944126
217,20602111106,2.429090380703284
218,20602111107,1.1000451161741485
219,20602111108,1.9632210972451143
220,20602111109,3.521211492583757
221,20602111110,1.3318963381398345
222,20602111111,0.6691344967389388
223,20602111112,1.979631086633447
224,20602111113,1.3026672602906058
225,20602111114,2.1702241480768203
226,20602111115,2.140967262618032
227,20602111116,1.287767486426062
229,20602111118,2.724890829694323
230,20602111119,1.682388200962221
231,20602111120,1.3457576579018704
234,20602111123,1.7758992625294736
236,20602111125,1.4718493287918253
237,20602111126,1.3076512929885364
238,20602111127,0.7762826420890937
239,20602111128,1.5011455278592376
240,20602111129,1.1019105222734256
241,20602111130,1.3892005610098177
242,20602111131,2.9361851332398317
243,20602111132,1.6729681608713867
244,20602111133,0.6524515176061372
245,20602111134,0.6810684571595388
246,20602111135,1.6091009444376303
247,20602111136,2.6846965699208445
248,20602111137,1.9336792240018048
249,20602111138,1.06463133640553
250,20602111139,2.163177762525738
251,20602111140,1.6567762223574762
252,20602111141,2.9015732416710733
