,SA1_code,DZN_code,SA1_pop,SA1_visits,ratio,exclusion_code
0,20601110501,211051659,282.0,38471.0,136.42198581560282,NA
1,20601110502,211051657,785.0,12876.0,16.402547770700636,NA
2,20601110503,211051656,530.0,17078.0,32.22264150943396,NA
3,20601110504,211051656,439.0,12069.0,27.492027334851937,NA
4,20601110505,211051656,450.0,7609.0,16.90888888888889,NA
5,20601110506,211051657,527.0,32457.0,61.588235294117645,NA
6,20601110507, ,,,,no containing DZN
7,20601110508,211051656,479.0,20304.0,42.38830897703549,NA
8,20601110509, ,,,,no containing DZN
9,20601110510,211051654,691.0,14087.0,20.386396526772792,NA
10,20601110512,211051644,404.0,10080.0,24.95049504950495,NA
11,20601110514,211051644,554.0,26864.0,48.49097472924188,NA
12,20601110515,211051644,508.0,12067.0,23.753937007874015,NA
13,20601110516,211051644,351.0,24559.0,69.96866096866097,NA
14,20601110517,211051641,527.0,35976.0,68.26565464895636,NA
15,20601110518,211051641,567.0,22880.0,40.35273368606702,NA
16,20601110519,211051641,461.0,10115.0,21.941431670281997,NA
17,20601110520,211051641,509.0,51242.0,100.67190569744598,NA
18,20601110521, ,,,,no containing DZN
19,20601110522,211051653,793.0,44073.0,55.57755359394704,NA
20,20601110523, ,,,,no containing DZN
21,20601110524,211051652,592.0,30766.0,51.9695945945946,NA
22,20601110525,211051653,464.0,5021.0,10.821120689655173,NA
23,20601110526,211051653,644.0,18552.0,28.80745341614907,NA
24,20601110527,211051641,365.0,15055.0,41.24657534246575,NA
25,20601110528,211051641,406.0,8578.0,21.12807881773399,NA
26,20601110529,211051641,717.0,26512.0,36.97629009762901,NA
27,20601110530,211051659,762.0,8148.0,10.692913385826772,NA
28,20601110531,211051659,756.0,13680.0,18.095238095238095,NA
29,20601110532,211051659,256.0,11475.0,44.82421875,NA
30,20601110533,211051659,542.0,21015.0,38.77306273062731,NA
31,20601110534,211051659,821.0,24342.0,29.649208282582215,NA
32,20601110535,211051654,763.0,21765.0,28.525557011795545,NA
33,20601110536, ,,,,no containing DZN
34,20601110537,211051655,548.0,15946.0,29.098540145985403,NA
35,20601110538, ,,,,no containing DZN
36,20601110539,211051647,466.0,18979.0,40.727467811158796,NA
37,20601110540, ,,,,no containing DZN
38,20601110541, ,,,,no containing DZN
39,20601110542,211051647,577.0,11551.0,20.019064124783363,NA
40,20601110543,211051647,559.0,30085.0,53.819320214669055,NA
41,20601110545,211051649,1246.0,48459.0,38.891653290529696,NA
42,20601110546, ,,,,no containing DZN
43,20601110547,211051659,379.0,16549.0,43.66490765171504,NA
44,20601110548,211051659,434.0,27456.0,63.26267281105991,NA
45,20601110549,211051656,561.0,21424.0,38.188948306595364,NA
46,20601110550, ,,,,no containing DZN
47,20601110551,211051650,487.0,12008.0,24.657084188911703,NA
48,20601110552,211051650,561.0,11560.0,20.606060606060606,NA
49,20601110553,211051657,104.0,2949.0,28.35576923076923,NA
50,20601110554,211051648,360.0,22544.0,62.62222222222222,NA
51,20601110555,211051653,381.0,7525.0,19.750656167979002,NA
52,20601110556, ,,,,no containing DZN
53,20601110557,211051649,247.0,14613.0,59.16194331983806,NA
54,20601110558,211051657,1397.0,45466.0,32.54545454545455,NA
55,20601110559,211051647,656.0,11031.0,16.815548780487806,NA
