,SA1_7D,SA1,sed_score,sed_decile,sead_score,sead_decile,ER_score,ER_decile,EO_score,EO_decile,URP,apr20base_count,apr20wave_count,jan22base_count,jan22wave_count,apr20_Rel_Mob,jan22_Rel_Mob
0,1102802,10201102802,1087,9,1099,9,1115,9,1108,9,608,2738,553,20102,35298,-0.798027757487217,0.7559446821211819
1,1102803,10201102803,1070,8,1086,8,1069,8,1121,9,617,9027,7727,59739,20147,-0.1440124072227761,-0.6627496275464939
2,1102804,10201102804,1065,8,1063,8,1061,8,1049,7,241,537,1937,700,12248,2.60707635009311,16.497142857142858
3,1102805,10201102805,1069,8,1080,8,1102,9,1087,8,327,11490,1664,7227,4436,-0.8551784160139252,-0.38619067386190675
4,1102806,10201102806,1025,6,1007,5,1031,6,1020,6,532,12911,2673,17618,11400,-0.7929672372395632,-0.35293449880803723
5,1102807,10201102807,1082,8,1111,9,1061,8,1154,10,426,827,7286,12127,24211,7.810157194679564,0.9964541931227838
6,1102808,10201102808,1116,10,1128,10,1155,10,1110,9,397,2760,9359,19231,20452,2.3909420289855072,0.06349123810514273
7,1102809,10201102809,1102,9,1095,9,1124,10,1047,7,638,7922,3225,30189,39664,-0.5929058318606413,0.31385604027957203
8,1102810,10201102810,1075,8,1085,8,1093,9,1095,9,483,6088,1757,16628,3967,-0.7113994743758213,-0.7614265095020447
9,1102811,10201102811,1059,7,1048,7,1060,8,1065,8,435,862,26355,33298,37955,29.574245939675173,0.1398582497447294
10,1102812,10201102812,1076,8,1084,8,1105,9,1090,8,423,5843,5492,23353,40311,-0.06007188088310799,0.726159379951184
11,1102813,10201102813,1033,6,1043,7,1007,5,1075,8,342,2723,957,30263,4836,-0.6485493940506794,-0.8402009053960282
12,1102814,10201102814,1053,7,1061,8,1051,7,1096,9,409,4346,774,7277,38932,-0.8219052001840773,4.350006870963309
13,1102815,10201102815,1077,8,1073,8,1077,8,1083,8,390,1610,3523,5056,30916,1.1881987577639752,5.114715189873418
14,1102816,10201102816,1112,10,1120,9,1118,9,1130,9,250,1365,2075,2005,8618,0.5201465201465202,3.2982543640897757
15,1102817,10201102817,1115,10,1121,9,1119,10,1129,9,388,4965,8241,14187,11460,0.6598187311178247,-0.19221822795517024
16,1102818,10201102818,1100,9,1097,9,1124,10,1070,8,419,4285,189,17443,23708,-0.9558926487747959,0.35916986756865216
17,1102901,10201102901,1096,9,1090,9,1118,9,1101,9,309,1585,160,21544,14131,-0.8990536277602523,-0.34408652060898626
18,1102902,10201102902,1062,8,1067,8,1068,8,1102,9,301,1445,33,5486,8256,-0.9771626297577855,0.5049216186656945
19,1102903,10201102903,1032,6,1004,5,1044,7,987,5,445,2166,446,2999,3583,-0.7940904893813481,0.19473157719239748
20,1102904,10201102904,1020,5,982,4,1043,7,957,4,525,1527,425,12489,26595,-0.7216764898493778,1.129473937064617
21,1102905,10201102905,1061,7,1046,7,1082,8,1046,7,396,957,459,15462,20526,-0.5203761755485894,0.32751261156383393
22,1102906,10201102906,1106,10,1092,9,1072,8,1116,9,222,4873,8761,16986,6732,0.7978657910937821,-0.6036736135641116
23,1102907,10201102907,1052,7,1034,7,1071,8,1014,6,305,3800,51,35040,19229,-0.986578947368421,-0.45122716894977166
